PriceSUM,path
2917.75,"[{""name"":BHM},{""flightID"":703,""class"":business,""ticketID"":705,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2918.75,"[{""name"":BHM},{""flightID"":747,""class"":business,""ticketID"":749,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2918.75,"[{""name"":BHM},{""flightID"":755,""class"":business,""ticketID"":757,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2771.0,"[{""name"":BHM},{""flightID"":755,""class"":economy,""ticketID"":756,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2570.15,"[{""name"":SAT},{""flightID"":83,""class"":firstClass,""ticketID"":86,""airlineName"":19977},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2479.25,"[{""name"":SAT},{""flightID"":83,""class"":economy,""ticketID"":84,""airlineName"":19977},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2918.75,"[{""name"":BHM},{""flightID"":707,""class"":business,""ticketID"":709,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2770.25,"[{""name"":BHM},{""flightID"":703,""class"":economy,""ticketID"":704,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2771.0,"[{""name"":BHM},{""flightID"":747,""class"":economy,""ticketID"":748,""airlineName"":20304},{""name"":IAH},{""name"":IAH},{""flightID"":527,""class"":business,""ticketID"":529,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1630.5,"[{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1986.0,"[{""name"":MOT},{""flightID"":1267,""class"":economy,""ticketID"":1268,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1785.5,"[{""name"":DLH},{""flightID"":1019,""class"":business,""ticketID"":1021,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
2195.7,"[{""name"":MOT},{""flightID"":1263,""class"":firstClass,""ticketID"":1266,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1839.5,"[{""name"":FSD},{""flightID"":1023,""class"":business,""ticketID"":1025,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1746.0,"[{""name"":DLH},{""flightID"":1071,""class"":economy,""ticketID"":1072,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1984.5,"[{""name"":MOT},{""flightID"":1279,""class"":economy,""ticketID"":1280,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1880.1,"[{""name"":FSD},{""flightID"":1031,""class"":firstClass,""ticketID"":1034,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
1816.5,"[{""name"":DLH},{""flightID"":1019,""class"":firstClass,""ticketID"":1022,""airlineName"":20304},{""name"":MSP},{""name"":MSP},{""flightID"":119,""class"":economy,""ticketID"":120,""airlineName"":19977},{""name"":ORD},{""name"":ORD},{""flightID"":151,""class"":economy,""ticketID"":152,""airlineName"":19977},{""name"":LAX}]"
